Genus,species,,type,Synonym,other,Origin,Version,Source,NCBI Tax ID,URL
Phoronis,australis,,,,,,,OISTMarine,115415,http://marinegenomics.oist.jp/pau_v2/download/pau_genome_v2.0_prot.fa.gz
Ptychodera ,flava,,,,,,v3.0,OISTMarine,63121,http://marinegenomics.oist.jp/acornworm/download/pfl_public_ver1.0.prot
Acanthaster,planci,,,,,,,OISTMarine,133434,http://marinegenomics.oist.jp/cots/download/gbr-cotsv1.0.EVM2.prot.gz
Bathycoccus,prasinos,,,,,,,NCBI,41875,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/220/235/GCF_002220235.1_ASM222023v1/GCF_002220235.1_ASM222023v1_protein.faa.gz
Catharanthus,roseus,,,,,,,OrcAE,4058,https://bioinformatics.psb.ugent.be/gdb/catharanthus/Catro_PROT_update.tfa.gz
Ectocarpus,siliculosus,,,,,,,OrcAE,2880,https://bioinformatics.psb.ugent.be/gdb/ectocarpusV2/EctsiV2_prot_LATEST.tfa.gz
Cercospora,beticola,,,,,,,NCBI,122368,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/065/GCF_002742065.1_CB0940_V2/GCF_002742065.1_CB0940_V2_protein.faa.gz
Phoenix,dactylifera,,,,,,,NCBI,42345,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/413/155/GCF_000413155.1_DPV01/GCF_000413155.1_DPV01_protein.faa.gz
Cyanophora,paradoxa,,,,,,,Rutgers,2762,http://cyanophora.rutgers.edu/cyanophora/Cyanophora_paradoxa_MAKER_gene_predictions-022111-aa.fasta
Porphyridium,purpureum,,,,,,,Rutgers,35688,http://cyanophora.rutgers.edu/porphyridium/Porphyridium_genemodels_UPDATED.fasta
Saccharomyces,mikatae,,IFO 1815,,,,,saccharomycessensustricto.org,226126,http://www.saccharomycessensustricto.org/current/Smik/Smik.aa
Saccharomyces,paradoxus,,,,,,,saccharomycessensustricto.org,27291,http://www.saccharomycessensustricto.org/current/Spar/Spar.aa
Schrenkiella,parvulum,,,Eutrema parvulum,,,,thellungiella.org,98039,http://thellungiella.org/blast/db/TpV84ORFs.protein
,,,,,,,,,,
,,,,,,,,,,
---,,,,,,,,,,
No Access,,,,,,,,,,
Calliarthron,tuberculosum,,,,,,other,Rutgers,48942,
