Genus,species,,ID,Synonym,Other ID,Origin,Version,Source,JGI ID,URL,
Allomyces,macrogynus,,ATCC 38327,,,,,JGI,Allma1,http://genome.jgi.doe.gov/Allma1/download/Allma1.all_proteins.BroadModels.gff3.gz.tar.gz,
Alternaria,alternata,,,,133aPRJ,,v1.0,JGI,Altalt1,http://genome.jgi.doe.gov/Altalt1/download/Altalt1_GeneCatalog_proteins_20170627.aa.fasta.gz,
Alternaria,alternata,,,,SRC1lrK2f,,v1.0,JGI,Altal1,http://genome.jgi.doe.gov/Altal1/download/Altal1_GeneCatalog_proteins_20141010.aa.fasta.gz,
Alternaria,brassicicola,,,,,,,JGI,Altbr1,http://genome.jgi.doe.gov/Altbr1/download/Altbr1.all_proteins.External_gene_models.gff3.gz.tar.gz,
Amanita,muscaria,,Koide BX008,,,,v1.0,JGI,Amamu1,http://genome.jgi.doe.gov/Amamu1/download/Amamu1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Amanita,thiersii,,Skay4041,,,,v1.0,JGI,Amath1,http://genome.jgi.doe.gov/Amath1/download/Amath1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Amniculicola,lignicola,,CBS 123094,,,,v1.0,JGI,Amnli1,http://genome.jgi.doe.gov/Amnli1/download/Amnli1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Amorphotheca,resinae,,,,,,v1.0,JGI,Amore1,http://genome.jgi.doe.gov/Amore1/download/Amore1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Ampelomyces,quisqualis,,,,HMLAC05119,,v1.0,JGI,Ampqui1,http://genome.jgi.doe.gov/Ampqui1/download/Ampqui1_GeneCatalog_proteins_20160127.aa.fasta.gz,
Amylostereum,chailletii,,,,DWAch2,,v1.0,JGI,Amycha1,http://genome.jgi.doe.gov/Amycha1/download/Amycha1_GeneCatalog_proteins_20170615.aa.fasta.gz,
Anaeromyces,robustus,,,,,,v1.0,JGI,Anasp1,http://genome.jgi.doe.gov/Anasp1/download/Anasp1_GeneCatalog_proteins_20160330.aa.fasta.gz,
Anomoporia,bombycina,,,,ATCC 64506,,v1.0,JGI,Anobom1,http://genome.jgi.doe.gov/Anobom1/download/Anobom1_GeneCatalog_proteins_20160510.aa.fasta.gz,
Anthostoma,avocetta,,NRRL 3190,,,,v1.0,JGI,Antav1,http://genome.jgi.doe.gov/Antav1/download/Antav1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Antonospora,locustae,,HM-2013,,,,,JGI,Antlo1,http://genome.jgi.doe.gov/Antlo1/download/Antlo1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Antrodia,serialis,,,,Sig1Antser10,,v1.0,JGI,Antser1,http://genome.jgi.doe.gov/Antser1/download/Antser1_GeneCatalog_proteins_20170404.aa.fasta.gz,
Antrodia,sinuosa,,LB1,,,,v1.0,JGI,Antsi1,http://genome.jgi.doe.gov/Antsi1/download/Antsi1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Apiospora,montagnei,,NRRL 25634,,,,v1.0,JGI,Apimo1,http://genome.jgi.doe.gov/Apimo1/download/Apimo1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aplosporella,prunicola,,CBS 121167,,,,v1.0,JGI,Aplpr1,http://genome.jgi.doe.gov/Aplpr1/download/Aplpr1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Elmerina,caryae,,L-13461,Aporpium caryae ,,,,JGI,Elmca1,http://genome.jgi.doe.gov/Elmca1/download/Elmca1_GeneCatalog_proteins_20140827.aa.fasta.gz,
Armillaria,cepistipes,,,,B5,,,JGI,Armcep1,http://genome.jgi.doe.gov/Armcep1/download/Armcep1_GeneCatalog_proteins_20170112.aa.fasta.gz,
Armillaria,gallica,,,,21-2,,v1.0,JGI,Armga1,http://genome.jgi.doe.gov/Armga1/download/Armga1_GeneCatalog_proteins_20141028.aa.fasta.gz,
Armillaria,mellea,,DSM 3731,,,,,JGI,Armme1_1,http://genome.jgi.doe.gov/Armme1_1/download/Armme1_1_GeneCatalog_proteins_20140802.aa.fasta.gz,
Armillaria,ostoyae,,,,C18/9,,,JGI,Armosto1,http://genome.jgi.doe.gov/Armosto1/download/Armosto1_GeneCatalog_proteins_20170112.aa.fasta.gz,
Armillaria,solidipes,,,,28-04,,v1.0,JGI,Armost1,http://genome.jgi.doe.gov/Armost1/download/Armost1_GeneCatalog_proteins_20150831.aa.fasta.gz,
Saccharomycopsis,fermentans,,,Arthroascus fermentans,17710,,v1.0,JGI,Artfe1_2,http://genome.jgi.doe.gov/Artfe1_2/download/Artfe1_2_GeneCatalog_proteins_20150912.aa.fasta.gz,
Arthrobotrys,oligospora,,ATCC 24927,,,,,JGI,Artol1,http://genome.jgi.doe.gov/Artol1/download/Artol1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Arthroderma,benhamiae,,CBS 112371,,,,,JGI,Artbe1,http://genome.jgi.doe.gov/Artbe1/download/Artbe1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Ascobolus,immersus,,RN42,,,,v1.0,JGI,Ascim1,http://genome.jgi.doe.gov/Ascim1/download/Ascim1.all_proteins.FilteredModels2.gff3.gz.tar.gz,
Ascochyta,rabiei,,,,ArDII,,,JGI,Ascra1,http://genome.jgi.doe.gov/Ascra1/download/Ascra1_GeneCatalog_proteins_20170704.aa.fasta.gz,
Ascocoryne,sarcoides,,NRRL50072,,,,,JGI,Ascsa1,http://genome.jgi.doe.gov/Ascsa1/download/Ascsa1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Ascodesmis,nigricans,,,,CBS 389.68,,v1.0,JGI,Ascni1,http://genome.jgi.doe.gov/Ascni1/download/Ascni1_GeneCatalog_proteins_20141120.aa.fasta.gz,
Ascoidea,rubescens,,NRRL Y17699,,,,v1.0,JGI,Ascru1,http://genome.jgi.doe.gov/Ascru1/download/Ascru1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,aculeatinus,,CBS 121060,,,,v1.0,JGI,Aspacu1,http://genome.jgi.doe.gov/Aspacu1/download/Aspacu1_GeneCatalog_proteins_20140714.aa.fasta.gz,
Aspergillus,aculeatus,,ATCC 16872,,,,v1.1,JGI,Aspac1,http://genome.jgi.doe.gov/Aspac1/download/Aspac1_filtered_proteins.FilteredModels6.GO.tab.gz,
Aspergillus,bombycis,,NRRL 26010,,,,,JGI,Aspbom1,http://genome.jgi.doe.gov/Aspbom1/download/Aspbom1_GeneCatalog_proteins_20170529.aa.fasta.gz,
Aspergillus,brasiliensis,,,,,,v1.0,JGI,Aspbr1,http://genome.jgi.doe.gov/Aspbr1/download/Aspbr1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,brunneoviolaceus,,CBS 621.78,,,,v1.0,JGI,Aspbru1,http://genome.jgi.doe.gov/Aspbru1/download/Aspbru1_GeneCatalog_proteins_20140712.aa.fasta.gz,
Aspergillus,calidoustus,,,,,,,JGI,Aspcal1,http://genome.jgi.doe.gov/Aspcal1/download/Aspcal1_GeneCatalog_proteins_20160920.aa.fasta.gz,
Aspergillus,campestris,,IBT 28561,,,,v1.0,JGI,Aspcam1,http://genome.jgi.doe.gov/Aspcam1/download/Aspcam1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,carbonarius,,ITEM 5010,,,,v3,JGI,Aspca3,http://genome.jgi.doe.gov/Aspca3/download/Aspca3.all_proteins.FilteredModels6.gff3.gz.tar.gz,
Aspergillus,clavatus,,NRRL 1,,,AspGD,,JGI,Aspcl1,http://genome.jgi.doe.gov/Aspcl1/download/Aspcl1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,costaricaensis,,CBS 115574,,,,v1.0,JGI,Aspcos1,http://genome.jgi.doe.gov/Aspcos1/download/Aspcos1_GeneCatalog_proteins_20141208.aa.fasta.gz,
Aspergillus,cristatus,,,,GZAAS20.1005,,,JGI,Aspcri1,http://genome.jgi.doe.gov/Aspcri1/download/Aspcri1_GeneCatalog_proteins_20170529.aa.fasta.gz,
Aspergillus,ellipticus,,CBS 707.79,,,,v1.0,JGI,Aspell1,http://genome.jgi.doe.gov/Aspell1/download/Aspell1_GeneCatalog_proteins_20140716.aa.fasta.gz,
Aspergillus,eucalypticola,,CBS 122712,,,,v1.0,JGI,Aspeuc1,http://genome.jgi.doe.gov/Aspeuc1/download/Aspeuc1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,fijiensis,,CBS 313.89,,,,v1.0,JGI,Aspfij1,http://genome.jgi.doe.gov/Aspfij1/download/Aspfij1_GeneCatalog_proteins_20141130.aa.fasta.gz,
Aspergillus,flavus,,NRRL3357,,,,,JGI,Aspfl1,http://genome.jgi.doe.gov/Aspfl1/download/Aspfl1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,fumigatus,,A1163,,,,,JGI,Aspfu_A1163_1,http://genome.jgi.doe.gov/Aspfu_A1163_1/download/Aspfu_A1163_1.all_proteins.External_Models.gff3.gz.tar.gz,
Aspergillus,fumigatus,,Af293,,,AspGD,,JGI,Aspfu1,http://genome.jgi.doe.gov/Aspfu1/download/Aspfu1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,glaucus,,,,,,v1.0,JGI,Aspgl1,http://genome.jgi.doe.gov/Aspgl1/download/Aspgl1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,heteromorphus,,CBS 117.55,,,,v1.0,JGI,Asphet1,http://genome.jgi.doe.gov/Asphet1/download/Asphet1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,homomorphus,,CBS 101889,,,,v1.0,JGI,Asphom1,http://genome.jgi.doe.gov/Asphom1/download/Asphom1_GeneCatalog_proteins_20140716.aa.fasta.gz,
Aspergillus,ibericus,,CBS 121593,,,,v1.0,JGI,Aspibe1,http://genome.jgi.doe.gov/Aspibe1/download/Aspibe1_GeneCatalog_proteins_20141129.aa.fasta.gz,
Aspergillus,indologenus,,CBS 114.80,,,,v1.0,JGI,Aspind1,http://genome.jgi.doe.gov/Aspind1/download/Aspind1_GeneCatalog_proteins_20140718.aa.fasta.gz,
Aspergillus,japonicus,,CBS 114.51,,,,v1.0,JGI,Aspjap1,http://genome.jgi.doe.gov/Aspjap1/download/Aspjap1_GeneCatalog_proteins_20141201.aa.fasta.gz,
Aspergillus,kawachii,,IFO 4308,,,,,JGI,Aspka1_1,http://genome.jgi.doe.gov/Aspka1_1/download/Aspka1_1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,lacticoffeatus,,CBS 101883,,,,v1.0,JGI,Asplac1,http://genome.jgi.doe.gov/Asplac1/download/Asplac1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,luchuensis,,CBS 106.47,,,,v1.0,JGI,Aspfo1,http://genome.jgi.doe.gov/Aspfo1/download/Aspfo1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,neoniger,,CBS 115656,,,,v1.0,JGI,Aspneo1,http://genome.jgi.doe.gov/Aspneo1/download/Aspneo1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,nidulans,,,,,,,JGI,Aspnid1,http://genome.jgi.doe.gov/Aspnid1/download/Aspnid1.all_proteins.AspGD_genes.gff3.gz.tar.gz,
Aspergillus,niger,,ATCC 1015,,,,v4.0,JGI,Aspni7,http://genome.jgi.doe.gov/Aspni7/download/Aspni7.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,niger,,CBS 513.88,,,,,JGI,Aspni_DSM_1,http://genome.jgi.doe.gov/Aspni_DSM_1/download/Aspni_DSM_1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,niger,,NRRL3,,,,,JGI,Aspni_NRRL3_1,http://genome.jgi.doe.gov/Aspni_NRRL3_1/download/Aspni_NRRL3_1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,niger,,ATCC 13496,,van Tieghem,,v1.0,JGI,Aspni_bvT_1,http://genome.jgi.doe.gov/Aspni_bvT_1/download/Aspni_bvT_1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,nomius,,NRRL 13137,,,,,JGI,Aspnom13137_1,http://genome.jgi.doe.gov/Aspnom13137_1/download/Aspnom13137_1_GeneCatalog_proteins_20160919.aa.fasta.gz,
Aspergillus,novofumigatus,,IBT 16806,,,,v1.0,JGI,Aspnov1,http://genome.jgi.doe.gov/Aspnov1/download/Aspnov1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,ochraceoroseus,,IBT 24754,,,,v1.0,JGI,Aspoch1,http://genome.jgi.doe.gov/Aspoch1/download/Aspoch1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,ochraceoroseus,,,,SRRC1432,,,JGI,Aspoch1432_1,http://genome.jgi.doe.gov/Aspoch1432_1/download/Aspoch1432_1_GeneCatalog_proteins_20160917.aa.fasta.gz,
Aspergillus,oryzae,,RIB40,,,,,JGI,Aspor1,http://genome.jgi.doe.gov/Aspor1/download/Aspor1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,phoenicis,,ATCC 13157,,,,v1.0,JGI,Aspph1,http://genome.jgi.doe.gov/Aspph1/download/Aspph1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,piperis,,CBS 112811,,,,v1.0,JGI,Asppip1,http://genome.jgi.doe.gov/Asppip1/download/Asppip1_GeneCatalog_proteins_20140724.aa.fasta.gz,
Aspergillus,rambellii,,,,SRRC1468,,,JGI,Aspram1,http://genome.jgi.doe.gov/Aspram1/download/Aspram1_GeneCatalog_proteins_20160917.aa.fasta.gz,
Aspergillus,saccharolyticus,,JOP 1030-1,,,,v1.0,JGI,Aspsac1,http://genome.jgi.doe.gov/Aspsac1/download/Aspsac1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,sclerotiicarbonarius,,CBS 121057,,,,v1.0,JGI,Aspscle1,http://genome.jgi.doe.gov/Aspscle1/download/Aspscle1_GeneCatalog_proteins_20140720.aa.fasta.gz,
Aspergillus,sclerotioniger,,CBS 115572,,,,v1.0,JGI,Aspscl1,http://genome.jgi.doe.gov/Aspscl1/download/Aspscl1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,steynii,,IBT 23096,,,,v1.0,JGI,Aspste1,http://genome.jgi.doe.gov/Aspste1/download/Aspste1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,sydowii,,CBS 593.65,,,,v1.0,JGI,Aspsy1,http://genome.jgi.doe.gov/Aspsy1/download/Aspsy1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,terreus,,NIH2624,,,,,JGI,Aspte1,http://genome.jgi.doe.gov/Aspte1/download/Aspte1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Aspergillus,tubingensis,,,,,,v1.0,JGI,Asptu1,http://genome.jgi.doe.gov/Asptu1/download/Asptu1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,udagawae,,,,IFM 46973,,,JGI,Aspuda1,http://genome.jgi.doe.gov/Aspuda1/download/Aspuda1_GeneCatalog_proteins_20160920.aa.fasta.gz,
Aspergillus,uvarum,,CBS 121591,,,,v1.0,JGI,Aspuva1,http://genome.jgi.doe.gov/Aspuva1/download/Aspuva1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,vadensis,,CBS 113365,,,,v1.0,JGI,Aspvad1,http://genome.jgi.doe.gov/Aspvad1/download/Aspvad1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,versicolor,,,,,,v1.0,JGI,Aspve1,http://genome.jgi.doe.gov/Aspve1/download/Aspve1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,violaceofuscus,,CBS 115571,,,,v1.0,JGI,Aspvio1,http://genome.jgi.doe.gov/Aspvio1/download/Aspvio1_GeneCatalog_proteins_20140719.aa.fasta.gz,
Aspergillus,wentii,,,,,,v1.0,JGI,Aspwe1,http://genome.jgi.doe.gov/Aspwe1/download/Aspwe1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aspergillus,zonatus,,,,,,v1.0,JGI,Aspzo1,http://genome.jgi.doe.gov/Aspzo1/download/Aspzo1.all_proteins.GeneCatalog_2013_12_03_15_38.gff3.gz.tar.gz,
Atractiellales,sp.,,,,,,v2.0,JGI,Atrsp2,http://genome.jgi.doe.gov/Atrsp2/download/Atrsp2.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aulographum,hederae,,,,,,v2.0,JGI,Aulhe2,http://genome.jgi.doe.gov/Aulhe2/download/Aulhe2.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aureobasidium,pullulans,var. melanogenum,CBS 110374,,,,,JGI,Aurpu_var_mel1,http://genome.jgi.doe.gov/Aurpu_var_mel1/download/Aurpu_var_mel1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aureobasidium,pullulans,var. namibiae,CBS 147.97,,,,,JGI,Aurpu_var_nam1,http://genome.jgi.doe.gov/Aurpu_var_nam1/download/Aurpu_var_nam1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aureobasidium,pullulans,var. pullulans,EXF-150,,,,,JGI,Aurpu_var_pul1,http://genome.jgi.doe.gov/Aurpu_var_pul1/download/Aurpu_var_pul1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Aureobasidium,pullulans,var. subglaciale,EXF-2481,,,,,JGI,Aurpu_var_sub1,http://genome.jgi.doe.gov/Aurpu_var_sub1/download/Aurpu_var_sub1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Auricularia,subglabra,,,,,,v2.0,JGI,Aurde3_1,http://genome.jgi.doe.gov/Aurde3_1/download/Aurde3_1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Auriculariopsis,ampla,,,,NL-1724,,v1.0,JGI,Auramp1,http://genome.jgi.doe.gov/Auramp1/download/Auramp1_GeneCatalog_proteins_20160719.aa.fasta.gz,
Auriscalpium,vulgare,,,,FP105234-Sp,,v1.0,JGI,Aurvu1,http://genome.jgi.doe.gov/Aurvu1/download/Aurvu1_GeneCatalog_proteins_20140723.aa.fasta.gz,
Babjeviella,inositovora,,NRRL Y-12698,,,,v1.0,JGI,Babin1,http://genome.jgi.doe.gov/Babin1/download/Babin1.all_proteins.FilteredModels2.gff3.gz.tar.gz,
Backusella,circina,,FSU 941,,,,v1.0,JGI,Bacci1,http://genome.jgi.doe.gov/Bacci1/download/Bacci1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Basidioascus,undulatus,,,,,,,JGI,Basun1,http://genome.jgi.doe.gov/Basun1/download/Basun1_GeneCatalog_proteins_20150127.aa.fasta.gz,
Basidiobolus,meristosporus,,CBS 931.73,,,,v1.0,JGI,Basme2finSC,http://genome.jgi.doe.gov/Basme2finSC/download/Basme2finSC_GeneCatalog_proteins_20150701.aa.fasta.gz,
Batrachochytrium,dendrobatidis,,JAM81,,,,v1.0,JGI,Batde5,http://genome.jgi.doe.gov/Batde5/download/Batde5.all_proteins.FilteredModels2.gff3.gz.tar.gz,
Baudoinia,compniacensis,,UAMH 10762,,(4089826),,v1.0,JGI,Bauco1,http://genome.jgi.doe.gov/Bauco1/download/Bauco1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Beauveria,bassiana,,ARSEF 2860,,,,,JGI,Beaba1,http://genome.jgi.doe.gov/Beaba1/download/Beaba1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Bimuria,novae-zelandiae,,CBS 107.79,,,,v1.0,JGI,Bimnz1,http://genome.jgi.doe.gov/Bimnz1/download/Bimnz1_GeneCatalog_proteins_20150128.aa.fasta.gz,
Biscogniauxia,nummularia,,,,,,v1.0,JGI,Bisnum1,http://genome.jgi.doe.gov/Bisnum1/download/Bisnum1_GeneCatalog_proteins_20160826.aa.fasta.gz,
Bisporella,sp.,,PMI_857,,,,v1.0,JGI,Bissp1,http://genome.jgi.doe.gov/Bissp1/download/Bissp1_GeneCatalog_proteins_20161122.aa.fasta.gz,
Bjerkandera,adusta,,,,,,v1.0,JGI,Bjead1_1,http://genome.jgi.doe.gov/Bjead1_1/download/Bjead1_1.all_proteins.FilteredModels2.gff3.gz.tar.gz,
Blakeslea,trispora,,NRRL 2456,,,,v1.0,JGI,Blatri1,http://genome.jgi.doe.gov/Blatri1/download/Blatri1_GeneCatalog_proteins_20160404.aa.fasta.gz,
Blastobotrys,adeninivorans,,,Arxula,,,,JGI,Arxad1,http://genome.jgi.doe.gov/Arxad1/download/Arxad1_GeneCatalog_proteins_20141211.aa.fasta.gz,
Blastocladiella,britannica,,,,,,v1.0,JGI,Blabri1,http://genome.jgi.doe.gov/Blabri1/download/Blabri1_GeneCatalog_proteins_20160901.aa.fasta.gz,
Blastomyces,dermatitidis,,SLH14081,,,,,JGI,Blade1,http://genome.jgi.doe.gov/Blade1/download/Blade1.all_proteins.BroadModels.gff3.gz.tar.gz,
Blumeria,graminis,f. sp. hordei ,DH14,,,,,JGI,Blugr1,http://genome.jgi.doe.gov/Blugr1/download/Blugr1.all_proteins.BluGenModels.gff3.gz.tar.gz,
Bolbitius,vitellinus,,SZMC-NL-1974,,,,v1.0,JGI,Bolvit1,http://genome.jgi.doe.gov/Bolvit1/download/Bolvit1_GeneCatalog_proteins_20160525.aa.fasta.gz,
Boletus,edulis,,,,,,v1.0,JGI,Boled1,http://genome.jgi.doe.gov/Boled1/download/Boled1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Bombardia,bombarda,,SMH3391-2,,,,v1.0,JGI,Bombom1,http://genome.jgi.doe.gov/Bombom1/download/Bombom1_GeneCatalog_proteins_20170616.aa.fasta.gz,
Botryobasidium,botryosum,,,,,,v1.0,JGI,Botbo1,http://genome.jgi.doe.gov/Botbo1/download/Botbo1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Botryosphaeria,dothidea,,,,,,,JGI,Botdo1_1,http://genome.jgi.doe.gov/Botdo1_1/download/Botdo1_1_GeneCatalog_proteins_20150128.aa.fasta.gz,
Botrytis,cinerea,,,,,,v1.0,JGI,Botci1,http://genome.jgi.doe.gov/Botci1/download/Botci1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Bulgaria,inquinans,,CBS 118.31,,,,v1.0,JGI,Bulin1,http://genome.jgi.doe.gov/Bulin1/download/Bulin1_GeneCatalog_proteins_20160325.aa.fasta.gz,
Byssochlamys,spectabilis,,No. 5,,,,,JGI,Byssp1,http://genome.jgi.doe.gov/Byssp1/download/Byssp1_GeneCatalog_proteins_20170705.aa.fasta.gz,
Byssothecium,circinans,,CBS 675.92,,,,v1.0,JGI,Bysci1,http://genome.jgi.doe.gov/Bysci1/download/Bysci1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Cadophora,sp.,,DSE1049,,,,v1.0,JGI,Cadsp1,http://genome.jgi.doe.gov/Cadsp1/download/Cadsp1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Caliciopsis,orientalis,,,,,,,JGI,Calor1,http://genome.jgi.doe.gov/Calor1/download/Calor1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Calocera,cornea,,,,,,v1.0,JGI,Calco1,http://genome.jgi.doe.gov/Calco1/download/Calco1_GeneCatalog_proteins_20130417.aa.fasta.gz,
Calocera,viscosa,,,,,,v1.0,JGI,Calvi1,http://genome.jgi.doe.gov/Calvi1/download/Calvi1_GeneCatalog_proteins_20130829.aa.fasta.gz,
Caloscypha,fulgens,,ATCC 42695,,,,v1.0,JGI,Calful1,http://genome.jgi.doe.gov/Calful1/download/Calful1_GeneCatalog_proteins_20160326.aa.fasta.gz,
Calosphaeria,pulchella,,,,,,,JGI,Calpu1,http://genome.jgi.doe.gov/Calpu1/download/Calpu1.all_proteins.ExternalModels.gff3.gz.tar.gz,
Candida,albicans,,SC5314,,,,,JGI,Canalb1,http://genome.jgi.doe.gov/Canalb1/download/Canalb1_GeneCatalog_proteins_20161025.aa.fasta.gz,
Candida,arabinofermentans,,NRRL YB-2248,,,,v1.0,JGI,Canar1,http://genome.jgi.doe.gov/Canar1/download/Canar1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Candida,tanzawaensis,,NRRL Y-17324,,,,v1.0,JGI,Canta1,http://genome.jgi.doe.gov/Canta1/download/Canta1.all_proteins.FilteredModels1.gff3.gz.tar.gz,
Candida,tenuis,,NRRL Y-1498,,,,v1.0,JGI,Cante1,http://genome.jgi.doe.gov/Cante1/download/Cante1.all_proteins.FilteredModels3.gff3.gz.tar.gz,
