#Organism/Name	TaxID	Group	SubGroup	Assembly Accession	Genes	Proteins	Status
Tetrapisispora phaffii CBS 4417	1071381	Fungi	Ascomycetes	GCA_000236905.1	5462	5252	Chromosome
Wallemia mellicola CBS 633.66	671144	Fungi	Basidiomycetes	GCA_000263375.1	5395	5277	Scaffold
Komagataella phaffii CBS 7435	981350	Fungi	Ascomycetes	GCA_900235035.1	5427	5282	Complete Genome
Saccharomyces cerevisiae YJM1443	1294373	Fungi	Ascomycetes	GCA_000977895.2	6391	5283	Chromosome
Komagataella phaffii CBS 7435	981350	Fungi	Ascomycetes	GCA_000223565.1	5527	5291	Chromosome
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_001466575.1	5293	5293	Scaffold
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_002219185.1	5543	5293	Chromosome
Thielaviopsis punctulata	72032	Fungi	Ascomycetes	GCA_000968615.1	5296	5296	Scaffold
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_002219195.1	5544	5297	Chromosome
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_001466685.1	5318	5317	Scaffold
Kazachstania naganishii CBS 8797	1071383	Fungi	Ascomycetes	GCA_000348985.1	5486	5319	Chromosome
Saccharomyces cerevisiae YJM1248	1294340	Fungi	Ascomycetes	GCA_000976905.2	6848	5319	Chromosome
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_002804325.1	5602	5327	Contig
Saccharomyces cerevisiae YJM1250	1294341	Fungi	Ascomycetes	GCA_000976935.2	6525	5328	Chromosome
Kazachstania saulgeensis	1789683	Fungi	Ascomycetes	GCA_900180425.1	5869	5329	Scaffold
Saccharomyces cerevisiae YJM244	1294306	Fungi	Ascomycetes	GCA_000975615.2	7376	5329	Chromosome
[Candida] glabrata	5478	Fungi	Ascomycetes	GCA_001466565.1	5334	5331	Scaffold
Saccharomyces cerevisiae YJM1133	1294333	Fungi	Ascomycetes	GCA_000976695.3	6604	5333	Chromosome
Saccharomyces cerevisiae YJM554	1294315	Fungi	Ascomycetes	GCA_000976155.4	7409	5358	Chromosome
Saccharomyces cerevisiae YJM1574	1294386	Fungi	Ascomycetes	GCA_000978285.2	6738	5359	Chromosome
Saccharomyces cerevisiae YJM1401	1294364	Fungi	Ascomycetes	GCA_000977625.2	6386	5362	Chromosome
Saccharomyces cerevisiae YJM1444	1294374	Fungi	Ascomycetes	GCA_000977925.2	6578	5362	Chromosome
Saccharomyces cerevisiae YJM1526	1294382	Fungi	Ascomycetes	GCA_000978165.2	6862	5363	Chromosome
Saccharomyces cerevisiae YJM1244	1294339	Fungi	Ascomycetes	GCA_000976875.3	7136	5363	Chromosome
Vanderwaltozyma polyspora DSM 70294	436907	Fungi	Ascomycetes	GCA_000150035.1	5762	5367	Scaffold
Saccharomyces cerevisiae YJM271	1294309	Fungi	Ascomycetes	GCA_000975855.3	8053	5367	Chromosome
Saccharomyces cerevisiae YJM195	1294305	Fungi	Ascomycetes	GCA_000975585.2	7078	5371	Chromosome
Saccharomyces cerevisiae YJM1355	1294353	Fungi	Ascomycetes	GCA_000977295.2	7179	5371	Chromosome
Saccharomyces cerevisiae YJM1463	1294378	Fungi	Ascomycetes	GCA_000978045.2	7960	5371	Chromosome
Saccharomyces cerevisiae YJM693	1294322	Fungi	Ascomycetes	GCA_000976365.2	7538	5372	Chromosome
Kazachstania africana CBS 2517	1071382	Fungi	Ascomycetes	GCA_000304475.1	5646	5375	Chromosome
Saccharomyces cerevisiae YJM1439	1294372	Fungi	Ascomycetes	GCA_000977865.2	7351	5376	Chromosome
Saccharomyces eubayanus	1080349	Fungi	Ascomycetes	GCA_001298625.1	5683	5377	Chromosome
Saccharomyces cerevisiae RM11-1a	285006	Fungi	Ascomycetes	GCA_000149365.1	5960	5377	Scaffold
Saccharomyces cerevisiae YJM1386	1294358	Fungi	Ascomycetes	GCA_000977445.2	6875	5377	Chromosome
Saccharomyces cerevisiae YJM1450	1294376	Fungi	Ascomycetes	GCA_000977985.2	7373	5377	Chromosome
Saccharomyces cerevisiae YJM1433	1294370	Fungi	Ascomycetes	GCA_000977805.2	6914	5379	Chromosome
Saccharomyces cerevisiae YJM1460	1294377	Fungi	Ascomycetes	GCA_000978015.2	7163	5379	Chromosome
Saccharomyces cerevisiae YJM1304	1294344	Fungi	Ascomycetes	GCA_000977025.2	6661	5381	Chromosome
[Candida] auris	498019	Fungi	Ascomycetes	GCA_003013715.1	5541	5382	Scaffold
Pichia kudriavzevii	4909	Fungi	Ascomycetes	GCA_001983325.1	5385	5385	Scaffold
Saccharomyces cerevisiae YJM1389	1294361	Fungi	Ascomycetes	GCA_000977535.2	6590	5385	Chromosome
Saccharomyces cerevisiae YJM990	1294330	Fungi	Ascomycetes	GCA_000976605.3	6793	5385	Chromosome
Saccharomyces cerevisiae YJM320	947042	Fungi	Ascomycetes	GCA_000975885.2	8021	5387	Chromosome
Tetrapisispora blattae CBS 6284	1071380	Fungi	Ascomycetes	GCA_000315915.1	5725	5388	Chromosome
Saccharomyces cerevisiae YJM248	1294307	Fungi	Ascomycetes	GCA_000975795.2	6357	5390	Chromosome
Saccharomyces cerevisiae YJM689	1294321	Fungi	Ascomycetes	GCA_000976335.2	6573	5391	Chromosome
Saccharomyces cerevisiae YJM1252	1294342	Fungi	Ascomycetes	GCA_000976965.3	7018	5391	Chromosome
Saccharomyces cerevisiae YJM453	1294311	Fungi	Ascomycetes	GCA_000976035.2	7121	5391	Chromosome
Saccharomyces cerevisiae YJM1592	1294387	Fungi	Ascomycetes	GCA_000978315.2	6742	5393	Chromosome
Saccharomyces cerevisiae YJM470	1294313	Fungi	Ascomycetes	GCA_000976095.2	6925	5393	Chromosome
Saccharomyces cerevisiae YJM1208	1294337	Fungi	Ascomycetes	GCA_000976815.3	7446	5394	Chromosome
Saccharomyces cerevisiae YJM681	1294318	Fungi	Ascomycetes	GCA_000976245.2	6584	5397	Chromosome
Saccharomyces cerevisiae YJM1527	1294383	Fungi	Ascomycetes	GCA_000978195.2	7109	5397	Chromosome
Saccharomyces cerevisiae YJM627	1294317	Fungi	Ascomycetes	GCA_000976215.2	6934	5398	Chromosome
Saccharomyces cerevisiae YJM1388	1294360	Fungi	Ascomycetes	GCA_000977505.2	6935	5398	Chromosome
Saccharomyces cerevisiae YJM541	1294314	Fungi	Ascomycetes	GCA_000976125.2	7389	5398	Chromosome
Saccharomyces cerevisiae YJM428	947044	Fungi	Ascomycetes	GCA_000975945.2	6532	5401	Chromosome
Saccharomyces cerevisiae YJM1242	1294338	Fungi	Ascomycetes	GCA_000976845.3	6542	5402	Chromosome
Saccharomyces cerevisiae YJM1083	1292971	Fungi	Ascomycetes	GCA_000975675.2	6754	5403	Chromosome
Saccharomyces cerevisiae YJM1202	1294336	Fungi	Ascomycetes	GCA_000976785.2	6785	5403	Chromosome
Saccharomyces cerevisiae YJM451	502869	Fungi	Ascomycetes	GCA_000976005.2	6632	5405	Chromosome
Saccharomyces cerevisiae YJM1342	1294352	Fungi	Ascomycetes	GCA_000977265.3	6912	5409	Chromosome
Saccharomyces cerevisiae YJM193	1294304	Fungi	Ascomycetes	GCA_000975765.2	7496	5410	Chromosome
Saccharomyces cerevisiae YJM1479	1294381	Fungi	Ascomycetes	GCA_000978135.2	6708	5411	Chromosome
Saccharomyces cerevisiae YJM1615	1294388	Fungi	Ascomycetes	GCA_000978345.2	6940	5412	Chromosome
Saccharomyces cerevisiae YJM1419	1294369	Fungi	Ascomycetes	GCA_000977775.3	8081	5412	Chromosome
Saccharomyces cerevisiae YJM1400	1294363	Fungi	Ascomycetes	GCA_000977595.2	6623	5414	Chromosome
Saccharomyces cerevisiae YJM1478	1294380	Fungi	Ascomycetes	GCA_000978105.2	6997	5414	Chromosome
Saccharomyces cerevisiae YJM1307	1294345	Fungi	Ascomycetes	GCA_000977055.3	7510	5414	Chromosome
Saccharomyces cerevisiae YJM326	468558	Fungi	Ascomycetes	GCA_000975915.2	6656	5416	Chromosome
[Candida] auris	498019	Fungi	Ascomycetes	GCA_002759435.2	5584	5417	Scaffold
Saccharomyces cerevisiae YJM1338	1294350	Fungi	Ascomycetes	GCA_000977205.2	6540	5420	Chromosome
Saccharomyces cerevisiae YJM1336	1294349	Fungi	Ascomycetes	GCA_000977175.3	7322	5421	Chromosome
Saccharomyces cerevisiae YJM1078	1296266	Fungi	Ascomycetes	GCA_000975645.3	6152	5424	Chromosome
Saccharomyces cerevisiae YJM1418	1294368	Fungi	Ascomycetes	GCA_000977745.2	6770	5424	Chromosome
Saccharomyces cerevisiae YJM984	1294328	Fungi	Ascomycetes	GCA_000976545.2	7602	5424	Chromosome
Saccharomyces cerevisiae YJM270	1294308	Fungi	Ascomycetes	GCA_000975825.2	6843	5427	Chromosome
Saccharomyces cerevisiae YJM1383	1294356	Fungi	Ascomycetes	GCA_000977385.2	6885	5427	Chromosome
Saccharomyces cerevisiae YJM1477	1294379	Fungi	Ascomycetes	GCA_000978075.3	6607	5429	Chromosome
Saccharomyces cerevisiae YJM1326	1294347	Fungi	Ascomycetes	GCA_000977115.3	6661	5431	Chromosome
Saccharomyces cerevisiae YJM975	1294325	Fungi	Ascomycetes	GCA_000976455.3	6603	5433	Chromosome
Saccharomyces cerevisiae YJM450	1294310	Fungi	Ascomycetes	GCA_000975975.3	6712	5435	Chromosome
Saccharomyces cerevisiae YJM189	1294303	Fungi	Ascomycetes	GCA_000975735.4	6564	5437	Chromosome
Saccharomyces cerevisiae YJM1311	1294346	Fungi	Ascomycetes	GCA_000977085.2	6879	5437	Chromosome
Saccharomyces cerevisiae YJM972	1294324	Fungi	Ascomycetes	GCA_000976425.2	7489	5438	Chromosome
Saccharomyces cerevisiae YJM682	1294319	Fungi	Ascomycetes	GCA_000976275.4	6623	5440	Chromosome
Saccharomyces cerevisiae YJM1417	1294367	Fungi	Ascomycetes	GCA_000977715.4	7207	5441	Chromosome
Saccharomyces cerevisiae YJM1385	1294357	Fungi	Ascomycetes	GCA_000977415.2	7279	5441	Chromosome
Saccharomyces cerevisiae YJM1190	1294334	Fungi	Ascomycetes	GCA_000976725.3	7378	5441	Chromosome
Saccharomyces cerevisiae	4932	Fungi	Ascomycetes	GCA_001983315.1	5445	5445	Contig
Saccharomyces cerevisiae YJM1341	1294351	Fungi	Ascomycetes	GCA_000977235.2	6931	5445	Chromosome
Saccharomyces cerevisiae YJM978	1294326	Fungi	Ascomycetes	GCA_000976485.2	6963	5446	Chromosome
Saccharomyces cerevisiae CEN.PK113-7D	889517	Fungi	Ascomycetes	GCA_000269885.1	5451	5451	Chromosome
Saccharomyces cerevisiae AWRI1631	545124	Fungi	Ascomycetes	GCA_000182175.1	5568	5451	Contig
Saccharomyces cerevisiae YJM1573	1294385	Fungi	Ascomycetes	GCA_000978255.2	6526	5451	Chromosome
Saccharomyces cerevisiae YJM969	1294323	Fungi	Ascomycetes	GCA_000976395.2	6766	5451	Chromosome
Saccharomyces cerevisiae YJM1402	1294365	Fungi	Ascomycetes	GCA_000977655.2	6923	5452	Chromosome
Saccharomyces cerevisiae YJM1549	1294384	Fungi	Ascomycetes	GCA_000978225.2	7739	5452	Chromosome
Saccharomyces cerevisiae YJM1387	1294359	Fungi	Ascomycetes	GCA_000977475.3	7218	5453	Chromosome
Saccharomyces cerevisiae YJM555	1294316	Fungi	Ascomycetes	GCA_000976185.2	7800	5457	Chromosome
Saccharomyces cerevisiae YJM683	1294320	Fungi	Ascomycetes	GCA_000976305.2	6812	5461	Chromosome
Saccharomyces cerevisiae YJM1332	1294348	Fungi	Ascomycetes	GCA_000977145.2	6711	5462	Chromosome
Saccharomyces cerevisiae YJM1356	1294354	Fungi	Ascomycetes	GCA_000977325.2	7038	5465	Chromosome
Saccharomyces cerevisiae YJM1434	1294371	Fungi	Ascomycetes	GCA_000977835.2	6862	5466	Chromosome
Saccharomyces cerevisiae YJM1273	1294343	Fungi	Ascomycetes	GCA_000976995.2	6900	5467	Chromosome
Saccharomyces cerevisiae YJM1415	1294366	Fungi	Ascomycetes	GCA_000977685.2	7422	5469	Chromosome
Saccharomyces cerevisiae YJM1381	1294355	Fungi	Ascomycetes	GCA_000977355.3	6806	5470	Chromosome
Saccharomyces cerevisiae YJM993	1294331	Fungi	Ascomycetes	GCA_000662435.2	6961	5470	Chromosome
Saccharomyces cerevisiae YJM1199	1294335	Fungi	Ascomycetes	GCA_000976755.2	6662	5471	Chromosome
Saccharomyces cerevisiae YJM996	1294332	Fungi	Ascomycetes	GCA_000976665.2	7258	5474	Chromosome
Saccharomyces cerevisiae YJM456	1294312	Fungi	Ascomycetes	GCA_000976065.2	6573	5475	Chromosome
Saccharomyces cerevisiae YJM1129	1293430	Fungi	Ascomycetes	GCA_000975705.2	7642	5475	Chromosome
Saccharomyces cerevisiae YJM981	1294327	Fungi	Ascomycetes	GCA_000976515.2	7457	5476	Chromosome
Saccharomyces sp. 'boulardii'	252598	Fungi	Ascomycetes	GCA_001298375.2	5482	5482	Chromosome
Saccharomyces cerevisiae YJM987	1294329	Fungi	Ascomycetes	GCA_000976575.4	7532	5482	Chromosome
Saccharomyces sp. 'boulardii'	252598	Fungi	Ascomycetes	GCA_001413975.1	5493	5493	Chromosome
Cyberlindnera fabianii	36022	Fungi	Ascomycetes	GCA_001983305.1	5509	5509	Contig
[Candida] auris	498019	Fungi	Ascomycetes	GCA_002775015.1	5714	5520	Scaffold
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002008085.1	5530	5530	Scaffold
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002008095.1	5530	5530	Scaffold
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002008065.1	5534	5534	Scaffold
Clavispora lusitaniae	36911	Fungi	Ascomycetes	GCA_001673695.2	5740	5537	Scaffold
Pichia membranifaciens NRRL Y-2026	763406	Fungi	Ascomycetes	GCA_001661235.1	5701	5542	Scaffold
Naumovozyma dairenensis CBS 421	1071378	Fungi	Ascomycetes	GCA_000227115.2	5814	5546	Chromosome
Neolecta irregularis DAH-3	1198029	Fungi	Ascomycetes	GCA_001929475.1	5531	5579	Scaffold
Naumovozyma castellii CBS 4309	1064592	Fungi	Ascomycetes	GCA_000237345.1	5867	5589	Chromosome
Drechslerella stenobrocha 248	1043628	Fungi	Ascomycetes	GCA_000525045.1	5597	5597	Scaffold
Ceratocystis platani	88771	Fungi	Ascomycetes	GCA_000978885.1	5857	5622	Contig
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002008075.1	5643	5643	Scaffold
Nadsonia fulvescens var. elongata DSM 6958	857566	Fungi	Ascomycetes	GCA_001661315.1	6233	5649	Scaffold
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002008015.1	5662	5662	Scaffold
Pachysolen tannophilus NRRL Y-2460	669874	Fungi	Ascomycetes	GCA_001661245.1	5797	5666	Scaffold
Candida orthopsilosis Co 90-125	1136231	Fungi	Ascomycetes	GCA_000315875.1	5782	5678	Chromosome
[Candida] boidinii	5477	Fungi	Ascomycetes	GCA_002008025.1	5689	5689	Scaffold
Bifiguratus adelaidae	1938954	Fungi	Other Fungi	GCA_002261195.1	5790	5719	Scaffold
Candida albicans WO-1	294748	Fungi	Ascomycetes	GCA_000149445.2	6101	5752	Chromosome
Kalmanozyma brasiliensis GHG001	1365824	Fungi	Basidiomycetes	GCA_000497045.1	5886	5765	Scaffold
Saccharomyces cerevisiae Kyokai no. 7	721032	Fungi	Ascomycetes	GCA_000260735.1	6592	5795	Scaffold
Lodderomyces elongisporus NRRL YB-4239	379508	Fungi	Ascomycetes	GCA_000149685.1	5908	5799	Scaffold
Candida parapsilosis	5480	Fungi	Ascomycetes	GCA_000182765.2	5907	5810	Scaffold
[Candida] arabinofermentans NRRL YB-2248	983967	Fungi	Ascomycetes	GCA_001661425.1	5946	5830	Scaffold
