Aspergillus	flavus		AF70		1392242	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/aspergillus_flavus_af70/pep/Aspergillus_flavus_af70.ASM95283v1.pep.all.fa.gz
Aspergillus	flavus		NRRL3357		332952	ftp.ensemblgenomes.org/pub/fungi/current/fasta/aspergillus_flavus/pep/Aspergillus_flavus.JCVI-afl1-v2.0.pep.all.fa.gz
Aspergillus	fumigatus		Af293		330879	ftp.ensemblgenomes.org/pub/fungi/current/fasta/aspergillus_fumigatus/pep/Aspergillus_fumigatus.CADRE.pep.all.fa.gz
Aspergillus	fumigatus		A1163		451804	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aspergillus_fumigatus_var_rp_2014/pep/Aspergillus_fumigatus_var_rp_2014.AspFumNiv1.0.pep.all.fa.gz
Aspergillus	fumigatus		Z5		1437362	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_fumigatus_z5/pep/Aspergillus_fumigatus_z5.ASM102932v1.pep.all.fa.gz
Aspergillus	fumigatus	var.	RP-2014		1476192	ftp.ensemblgenomes.org/pub/fungi/current/fasta/aspergillus_fumigatusa1163/pep/Aspergillus_fumigatusa1163.CADRE.pep.all.fa.gz
Aspergillus	glaucus		CBS 516.65		1160497	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_glaucus_cbs_516_65/pep/Aspergillus_glaucus_cbs_516_65.Aspgl1.pep.all.fa.gz
Aspergillus	lentulus				293939	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_lentulus/pep/Aspergillus_lentulus.Alt_assembly01.pep.all.fa.gz
Aspergillus	luchuensis				1069201	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_luchuensis/pep/Aspergillus_luchuensis.AspL_2604.pep.all.fa.gz
Aspergillus	luchuensis		CBS 106.47	Aspergillus acidus	1137211	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_luchuensis_cbs_106_47/pep/Aspergillus_luchuensis_cbs_106_47.Aspfo1.pep.all.fa.gz
Aspergillus	nidulans		FGSC A4		227321	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/aspergillus_nidulans_fgsc_a4/pep/Aspergillus_nidulans_fgsc_a4.ASM14920v2.pep.all.fa.gz
Aspergillus	niger		ATCC 1015		380704	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aspergillus_niger_atcc_1015/pep/Aspergillus_niger_atcc_1015.ASPNI_v3.0.pep.all.fa.gz
Aspergillus	niger		NRRL3		1451139	ftp://ftp.ensemblgenomes.org/pub/fungi/release-39/fasta/aspergillus_niger/pep/Aspergillus_niger.ASM285v2.pep.all.fa.gz
Aspergillus	nomius		NRRL 13137		1509407	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_nomius_nrrl_13137/pep/Aspergillus_nomius_nrrl_13137.ASM120477v1.pep.all.fa.gz
Aspergillus	ochraceoroseus				138278	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/aspergillus_ochraceoroseus/pep/Aspergillus_ochraceoroseus.ASM98666v1.pep.all.fa.gz
Aspergillus	oryzae		100-8		1197718	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aspergillus_oryzae_100_8/pep/Aspergillus_oryzae_100_8.Aspergillus_oryzae_100-8.pep.all.fa.gz
Aspergillus	oryzae		3.042		1160506	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aspergillus_oryzae_3_042/pep/Aspergillus_oryzae_3_042.AspOry3042.pep.all.fa.gz
Aspergillus	oryzae		RIB40		510516	ftp.ensemblgenomes.org/pub/fungi/current/fasta/aspergillus_oryzae/pep/Aspergillus_oryzae.ASM18445v3.pep.all.fa.gz
Aspergillus	parasiticus		SU-1		1403190	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_parasiticus_su_1/pep/Aspergillus_parasiticus_su_1.ASM95608v1.pep.all.fa.gz
Aspergillus	rambellii				308745	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/aspergillus_rambellii/pep/Aspergillus_rambellii.ASM98664v1.pep.all.fa.gz
Aspergillus	ruber		CBS 135680		1388766	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aspergillus_ruber_cbs_135680/pep/Aspergillus_ruber_cbs_135680.Eurhe1.pep.all.fa.gz
Aspergillus	sydowii		CBS 593.65		1036612	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_sydowii_cbs_593_65/pep/Aspergillus_sydowii_cbs_593_65.Aspsy1.pep.all.fa.gz
Aspergillus	terreus		NIH2624		341663	ftp.ensemblgenomes.org/pub/fungi/current/fasta/aspergillus_terreus/pep/Aspergillus_terreus.CADRE.pep.all.fa.gz
Aspergillus	tubingensis		CBS 134.48		767770	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_tubingensis_cbs_134_48/pep/Aspergillus_tubingensis_cbs_134_48.Asptu1.pep.all.fa.gz
Aspergillus	udagawae				91492	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_udagawae/pep/Aspergillus_udagawae.Aud_assembly01.pep.all.fa.gz
Aspergillus	ustus				40382	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/aspergillus_ustus/pep/Aspergillus_ustus.Austus1.0.pep.all.fa.gz
Aspergillus	versicolor		CBS 583.65		1036611	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_versicolor_cbs_583_65/pep/Aspergillus_versicolor_cbs_583_65.Aspve1.pep.all.fa.gz
Aspergillus	wentii		DTO 134E9		1073089	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/aspergillus_wentii_dto_134e9/pep/Aspergillus_wentii_dto_134e9.Aspwe1.pep.all.fa.gz
Aureobasidium	pullulans	var. melanogenum	CBS 110374		1043003	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aureobasidium_melanogenum_cbs_110374/pep/Aureobasidium_melanogenum_cbs_110374.Aureobasidium_pullulans_var._melanogenum_CBS_110374_v1.0.pep.all.fa.gz
Aureobasidium	pullulans	var. namibiae	CBS 147.97		1043004	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aureobasidium_namibiae_cbs_147_97/pep/Aureobasidium_namibiae_cbs_147_97.Aureobasidium_pullulans_var._namibiae_CBS_147.97_v1.0.pep.all.fa.gz
Aureobasidium	pullulans	var. pullulans	EXF-150		1043002	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/aureobasidium_pullulans_exf_150/pep/Aureobasidium_pullulans_exf_150.Aureobasidium_pullulans_var._pullulans_EXF-150_assembly_version_1.0.pep.all.fa.gz
Babjeviella	inositovora		NRRL Y-12698		984486	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/babjeviella_inositovora_nrrl_y_12698/pep/Babjeviella_inositovora_nrrl_y_12698.Babin1.pep.all.fa.gz
Batrachochytrium	dendrobatidis		JAM81		684364	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_chytridiomycota1_collection/batrachochytrium_dendrobatidis_jam81/pep/Batrachochytrium_dendrobatidis_jam81.v1.0.pep.all.fa.gz
Batrachochytrium	dendrobatidis		JEL423		403673	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_chytridiomycota1_collection/batrachochytrium_dendrobatidis_jel423/pep/Batrachochytrium_dendrobatidis_jel423.BD_JEL423.pep.all.fa.gz
Batrachochytrium	salamandrivorans				1357716	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_chytridiomycota1_collection/batrachochytrium_salamandrivorans/pep/Batrachochytrium_salamandrivorans.Batr_sala_BS_V1.pep.all.fa.gz
Baudoinia	panamericana		UAMH 10762		717646	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/baudoinia_panamericana_uamh_10762/pep/Baudoinia_panamericana_uamh_10762.Bauco1.pep.all.fa.gz
Beauveria	bassiana				176275	ftp.ensemblgenomes.org/pub/fungi/current/fasta/beauveria_bassiana/pep/Beauveria_bassiana.ASM168263v1.pep.all.fa.gz
Beauveria	bassiana		ARSEF 2860		655819	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/beauveria_bassiana_arsef_2860/pep/Beauveria_bassiana_arsef_2860.ASM28067v1.pep.all.fa.gz
Beauveria	bassiana		D1-5		1245745	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/beauveria_bassiana_d1_5/pep/Beauveria_bassiana_d1_5.BBA1.0.pep.all.fa.gz
Bipolaris	maydis		ATCC 48331		665024	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/bipolaris_maydis_atcc_48331/pep/Bipolaris_maydis_atcc_48331.CocheC4_1.pep.all.fa.gz
Bipolaris	maydis		C5		701091	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/bipolaris_maydis_c5/pep/Bipolaris_maydis_c5.CocheC5_3.pep.all.fa.gz
Bipolaris	oryzae		ATCC 44560		930090	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/bipolaris_oryzae_atcc_44560/pep/Bipolaris_oryzae_atcc_44560.Cochliobolus_miyabeanus_v1.0.pep.all.fa.gz
Bipolaris	sorokiniana		ND90Pr		665912	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/bipolaris_sorokiniana_nd90pr/pep/Bipolaris_sorokiniana_nd90pr.Cocsa1.pep.all.fa.gz
Bipolaris	victoriae		FI3		930091	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/bipolaris_victoriae_fi3/pep/Bipolaris_victoriae_fi3.Cochliobolus_victoriae_v1.0.pep.all.fa.gz
Bipolaris	zeicola		26-R-13		930089	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/bipolaris_zeicola_26_r_13/pep/Bipolaris_zeicola_26_r_13.Cochliobolus_carbonum_v1.0.pep.all.fa.gz
Blastomyces	dermatitidis		ATCC 18188	Ajellomyces dermatitidis	653446	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/blastomyces_dermatitidis_atcc_18188/pep/Blastomyces_dermatitidis_atcc_18188.BD_ATCC18188_V1.pep.all.fa.gz
Blastomyces	dermatitidis		ATCC 26199	Ajellomyces dermatitidis	447095	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/blastomyces_dermatitidis_atcc_26199/pep/Blastomyces_dermatitidis_atcc_26199.BD_ATCC26199_V2.pep.all.fa.gz
Blastomyces	dermatitidis		ER-3	Ajellomyces dermatitidis	559297	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/blastomyces_dermatitidis_er_3/pep/Blastomyces_dermatitidis_er_3.BD_ER3_V1.pep.all.fa.gz
Blastomyces	dermatitidis		SLH14081	Blastomyces gilchristii SLH14081	559298	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/blastomyces_gilchristii_slh14081/pep/Blastomyces_gilchristii_slh14081.BD_SLH14081_V1.pep.all.fa.gz
Blastomyces	percursus				1658174	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/blastomyces_percursus/pep/Blastomyces_percursus.Blas_perc_EI222_V1.pep.all.fa.gz
Blumeria	graminis				546991	ftp.ensemblgenomes.org/pub/fungi/current/fasta/blumeria_graminis/pep/Blumeria_graminis.EF1.pep.all.fa.gz
Blumeria	graminis	f. sp. tritici	96224		1268274	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/blumeria_graminis_f_sp_tritici_96224/pep/Blumeria_graminis_f_sp_tritici_96224.Bgt_454_newbler_assembly.pep.all.fa.gz
Botryobasidium	botryosum		FD-172 SS1		930990	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/botryobasidium_botryosum_fd_172_ss1/pep/Botryobasidium_botryosum_fd_172_ss1.Botbo1.pep.all.fa.gz
Botrytis	cinerea		B05.10		332648	ftp.ensemblgenomes.org/pub/fungi/current/fasta/botrytis_cinerea/pep/Botrytis_cinerea.ASM83294v1.pep.all.fa.gz
Botrytis	cinerea		BcDW1		1290391	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/botrytis_cinerea_bcdw1/pep/Botrytis_cinerea_bcdw1.BcDW1.pep.all.fa.gz
Botrytis	cinerea		T4		999810	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/botrytis_cinerea_t4/pep/Botrytis_cinerea_t4.BotFuc_Mar2011.pep.all.fa.gz
Brettanomyces	bruxellensis		AWRI1499		1124627	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/brettanomyces_bruxellensis_awri1499/pep/Brettanomyces_bruxellensis_awri1499.AWRI1499_v1.0.pep.all.fa.gz
Byssochlamys	spectabilis		No. 5		1356009	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/byssochlamys_spectabilis_no_5/pep/Byssochlamys_spectabilis_no_5.PVAR5_assembly01.pep.all.fa.gz
Calocera	cornea		HHB12733		1353952	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/calocera_cornea_hhb12733/pep/Calocera_cornea_hhb12733.Calco1.pep.all.fa.gz
Calocera	viscosa		TUFC12733		1330018	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_basidiomycota1_collection/calocera_viscosa_tufc12733/pep/Calocera_viscosa_tufc12733.Calvi1.pep.all.fa.gz
Candida	albicans		12C		1094981	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_12c/pep/Candida_albicans_12c.Cand_albi_12C_V2.pep.all.fa.gz
Candida	albicans		19F		1094987	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_19f/pep/Candida_albicans_19f.Cand_albi_19F_V2.pep.all.fa.gz
Candida	albicans		Ca6		1165368	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_ca6/pep/Candida_albicans_ca6.Cand_albi_Ca6_V2.pep.all.fa.gz
Candida	albicans		GC75		1094988	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_albicans_gc75/pep/Candida_albicans_gc75.Cand_albi_GC75_V1.pep.all.fa.gz
Candida	albicans		L26		1094982	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_l26/pep/Candida_albicans_l26.Cand_albi_L26_V2.pep.all.fa.gz
Candida	albicans		P34048		1094991	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p34048/pep/Candida_albicans_p34048.Cand_albi_P34048_V1.pep.all.fa.gz
Candida	albicans		P37005		1094985	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_albicans_p37005/pep/Candida_albicans_p37005.Cand_albi_P37005_V2.pep.all.fa.gz
Candida	albicans		P37037		1094992	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_albicans_p37037/pep/Candida_albicans_p37037.Cand_albi_P37037_V1.pep.all.fa.gz
Candida	albicans		P37039		1094993	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p37039/pep/Candida_albicans_p37039.Cand_albi_P37039_V1.pep.all.fa.gz
Candida	albicans		P57055		1094996	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p57055/pep/Candida_albicans_p57055.Cand_albi_P57055_V1.pep.all.fa.gz
Candida	albicans		P57072		1094990	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_albicans_p57072/pep/Candida_albicans_p57072.Cand_albi_P57072_V1.pep.all.fa.gz
Candida	albicans		P60002		1094986	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p60002/pep/Candida_albicans_p60002.Cand_albi_P60002_V1.pep.all.fa.gz
Candida	albicans		P75010		1094994	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p75010/pep/Candida_albicans_p75010.Cand_albi_P75010_V1.pep.all.fa.gz
Candida	albicans		P75016		1094995	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p75016/pep/Candida_albicans_p75016.Cand_albi_P75016_V1.pep.all.fa.gz
Candida	albicans		P75063		1094997	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p75063/pep/Candida_albicans_p75063.Cand_albi_P75063_V1.pep.all.fa.gz
Candida	albicans		P76055		1094998	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p76055/pep/Candida_albicans_p76055.Cand_albi_P76055_V1.pep.all.fa.gz
Candida	albicans		P76067		1094999	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p76067/pep/Candida_albicans_p76067.Cand_albi_P76067_V1.pep.all.fa.gz
Candida	albicans		P78042		1095000	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p78042/pep/Candida_albicans_p78042.Cand_albi_P78042_V1.pep.all.fa.gz
Candida	albicans		P78048		1094989	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_albicans_p78048/pep/Candida_albicans_p78048.Cand_albi_P78048_V1.pep.all.fa.gz
Candida	albicans		P87		1094984	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p87/pep/Candida_albicans_p87.Cand_albi_P87_V2.pep.all.fa.gz
Candida	albicans		P94015		1094983	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_p94015/pep/Candida_albicans_p94015.Cand_albi_P94015_V1.pep.all.fa.gz
Candida	albicans		SC5314		237561	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota2_collection/candida_albicans_sc5314/pep/Candida_albicans_sc5314.Cand_albi_SC5314_V4.pep.all.fa.gz
Candida	albicans		WO-1		294748	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_albicans_wo_1/pep/Candida_albicans_wo_1.ASM14944v2.pep.all.fa.gz
Candida	arabinofermentans		NRRL YB-2248		983967	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/candida_arabinofermentans_nrrl_yb_2248/pep/Candida_arabinofermentans_nrrl_yb_2248.Canar1.pep.all.fa.gz
Candida	auris				498019	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/_candida_auris/pep/_candida_auris.ASM118947v1.pep.all.fa.gz
Candida	dubliniensis		CD36		573826	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_dubliniensis_cd36/pep/Candida_dubliniensis_cd36.ASM2694v1.pep.all.fa.gz
Candida	glabrata		CBS 138		284593	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/_candida_glabrata/pep/_candida_glabrata.ASM254v2.pep.all.fa.gz
Candida	intermedia				45354	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/_candida_intermedia/pep/_candida_intermedia.CBS_141442_assembly.pep.all.fa.gz
Candida	maltosa		Xu316		1245528	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_maltosa_xu316/pep/Candida_maltosa_xu316.Cmaltosa_v01.pep.all.fa.gz
Candida	orthopsilosis		Co 90-125		1136231	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_orthopsilosis_co_90_125/pep/Candida_orthopsilosis_co_90_125.ASM31587v1.pep.all.fa.gz
Candida	parapsilosis		CDC317		578454	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/candida_parapsilosis_cdc317/pep/Candida_parapsilosis_cdc317.ASM18276v2.pep.all.fa.gz
Candida	tanzawaensis		NRRL Y-17324		984487	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota3_collection/candida_tanzawaensis_nrrl_y_17324/pep/Candida_tanzawaensis_nrrl_y_17324.Canta1.pep.all.fa.gz
Candida	tenuis		ATCC 10573		590646	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/_candida_tenuis_atcc_10573/pep/_candida_tenuis_atcc_10573.Candida_tenuis_v1.0.pep.all.fa.gz
Candida	tropicalis		MYA-3404		294747	ftp.ensemblgenomes.org/pub/fungi/current/fasta/fungi_ascomycota1_collection/candida_tropicalis_mya_3404/pep/Candida_tropicalis_mya_3404.ASM633v2.pep.all.fa.gz
